X,Y,gid,Name,description,X_ADDR,SHAPE_Length,FMEL_UPD_D,Region Name,Planning Area Name,Region Code,Subzone Name,Central Area Indicator,SHAPE,Y_ADDR,Subzone Code,INC_CRC,Subzone Number,SHAPE_Area,Planning Area Code,Field_1
103.7766505,1.296870576,51,NATIONAL UNIVERSITY OF S'PORE,,21688.9243,5625.416891,12/5/14 21:26,CENTRAL REGION,QUEENSTOWN,CR,NATIONAL UNIVERSITY OF S'PORE,N,Polygon,30930.1213,QTSZ11,247B3009E9665A6E,11,1755950.439,QT,NATIONAL UNIVERSITY OF S'PORE
103.7966478,1.302026685,64,TANGLIN HALT,,23925.4408,3556.229094,12/5/14 21:26,CENTRAL REGION,QUEENSTOWN,CR,TANGLIN HALT,N,Polygon,31512.7857,QTSZ04,5903D38684211B10,4,503220.7514,QT,TANGLIN HALT
103.8470161,1.284345078,39,CHINA SQUARE,,29509.6437,1605.279697,12/5/14 21:26,CENTRAL REGION,OUTRAM,CR,CHINA SQUARE,Y,Polygon,29646.4495,OTSZ04,B609DF5587626C8F,4,133006.936,OT,CHINA SQUARE
103.8567536,1.299232337,58,BUGIS,,30528.3347,2658.881648,12/5/14 21:26,CENTRAL REGION,DOWNTOWN CORE,CR,BUGIS,Y,Polygon,31278.4644,DTSZ01,E042FEB6C937D5A5,1,280174.7667,DT,BUGIS
103.8483984,1.306208985,65,MACKENZIE,,29680.0182,1216.480631,12/5/14 21:26,CENTRAL REGION,ROCHOR,CR,MACKENZIE,Y,Polygon,32062.9263,RCSZ06,D51BAF9568A828F4,6,55681.28248,RC,MACKENZIE
103.831495,1.301561989,60,PATERSON,,27809.3171,1753.92708,12/5/14 21:26,CENTRAL REGION,RIVER VALLEY,CR,PATERSON,Y,Polygon,31511.3733,RVSZ02,350FD169665248C4,2,173121.7736,RV,PATERSON
103.8462176,1.276247139,62,TANJONG PAGAR,,29397.831,1787.710451,12/5/14 21:26,CENTRAL REGION,DOWNTOWN CORE,CR,TANJONG PAGAR,Y,Polygon,28706.3515,DTSZ09,4FFE6642FB35D40A,9,145518.6639,DT,TANJONG PAGAR
103.8769013,1.301266467,68,TANJONG RHU,,32740.1208,6515.758575,12/5/14 21:26,CENTRAL REGION,KALLANG,CR,TANJONG RHU,N,Polygon,31438.3084,KLSZ05,928DCE8E44F904C8,5,2434594.029,KL,TANJONG RHU
103.7550097,1.316297592,91,WEST COAST,,19293.7625,3644.131828,12/5/14 21:26,WEST REGION,CLEMENTI,WR,WEST COAST,N,Polygon,33172.6228,CLSZ05,0BE668D9B5368B3F,5,722588.6837,CL,WEST COAST
103.7998216,1.304271771,70,COMMONWEALTH,,24278.7709,2713.429971,12/5/14 21:26,CENTRAL REGION,QUEENSTOWN,CR,COMMONWEALTH,N,Polygon,31919.97,QTSZ03,2423D1D91E730899,3,310513.6474,QT,COMMONWEALTH
103.8127354,1.303755811,72,RIDOUT,,25568.3077,6450.972879,12/5/14 21:26,CENTRAL REGION,TANGLIN,CR,RIDOUT,N,Polygon,31752.6686,TNSZ03,664D9D93F09E7CD1,3,1951865.755,TN,RIDOUT
103.763865,1.301950069,74,CLEMENTI WEST,,20184.3508,5211.867528,12/5/14 21:26,WEST REGION,CLEMENTI,WR,CLEMENTI WEST,N,Polygon,31651.8834,CLSZ08,22F5FFEEEB8E5284,8,697501.7143,CL,CLEMENTI WEST
103.6135452,1.257945682,75,TUAS VIEW EXTENSION,,5092.8949,54928.09387,12/5/14 21:26,WEST REGION,TUAS,WR,TUAS VIEW EXTENSION,N,Polygon,26137.8735,TSSZ06,D2A66C8A6232EA9A,6,27710950.08,TS,TUAS VIEW EXTENSION
103.8408374,1.307128387,76,MONK'S HILL,,28922.8456,2446.733416,12/5/14 21:26,CENTRAL REGION,NEWTON,CR,MONK'S HILL,Y,Polygon,32259.7856,NTSZ05,23972F8A61891E05,5,171720.6207,NT,MONK'S HILL
103.8547529,1.285070732,43,CLIFFORD PIER,,30379.5041,2405.990925,12/5/14 21:26,CENTRAL REGION,DOWNTOWN CORE,CR,CLIFFORD PIER,Y,Polygon,29776.4334,DTSZ06,945CC212CA80626F,6,261843.8968,DT,CLIFFORD PIER
103.7681787,1.302300912,78,CLEMENTI WOODS,,20764.198,5275.74936,12/5/14 21:26,WEST REGION,CLEMENTI,WR,CLEMENTI WOODS,N,Polygon,31824.7421,CLSZ07,F01FB50693FE0377,7,1053493.747,CL,CLEMENTI WOODS
103.7350622,1.304675212,80,PENJURU CRESCENT,,17651.309,9876.049092,12/5/14 21:26,WEST REGION,JURONG EAST,WR,PENJURU CRESCENT,N,Polygon,31799.6102,JESZ10,BC263278706376DE,10,3049720.082,JE,PENJURU CRESCENT
103.8303184,1.310110806,81,ORANGE GROVE,,27668.1841,2476.246298,12/5/14 21:26,CENTRAL REGION,NEWTON,CR,ORANGE GROVE,Y,Polygon,32484.764,NTSZ01,136BF08C36E3A625,1,336221.4941,NT,ORANGE GROVE
103.8541545,1.306833188,85,LITTLE INDIA,,30307.5102,2203.280258,12/5/14 21:26,CENTRAL REGION,ROCHOR,CR,LITTLE INDIA,Y,Polygon,32122.9908,RCSZ02,BEC03B4580EB622F,2,278303.5433,RC,LITTLE INDIA
103.6774446,1.302127881,86,GUL BASIN,,10327.4233,9465.222183,12/5/14 21:26,WEST REGION,PIONEER,WR,GUL BASIN,N,Polygon,31746.7616,PNSZ04,482D973AA378FFF0,4,1769495.161,PN,GUL BASIN
103.6333076,1.304967495,89,TUAS VIEW,,5753.6337,11013.62449,12/5/14 21:26,WEST REGION,TUAS,WR,TUAS VIEW,N,Polygon,31501.4549,TSSZ05,AE9636556732D218,5,5675810.846,TS,TUAS VIEW
103.6875131,1.31721498,93,BENOI SECTOR,,11668.2441,6249.477068,12/5/14 21:26,WEST REGION,PIONEER,WR,BENOI SECTOR,N,Polygon,33336.5267,PNSZ03,7CD74371F5BAD860,3,2042630.98,PN,BENOI SECTOR
103.6676046,1.315116617,94,GUL CIRCLE,,9693.9712,7268.450752,12/5/14 21:26,WEST REGION,PIONEER,WR,GUL CIRCLE,N,Polygon,33074.429,PNSZ02,029BD940F4455194,2,3260399.459,PN,GUL CIRCLE
103.859581,1.30236699,96,KAMPONG GLAM,,30934.989,1681.626995,12/5/14 21:26,CENTRAL REGION,ROCHOR,CR,KAMPONG GLAM,Y,Polygon,31623.1483,RCSZ05,DCC789993ED54477,5,171334.392,RC,KAMPONG GLAM
103.8496419,1.302362734,97,SELEGIE,,29817.3304,1478.049969,12/5/14 21:26,CENTRAL REGION,ROCHOR,CR,SELEGIE,Y,Polygon,31611.0039,RCSZ08,E8FA232C5BEEA956,8,49626.01833,RC,SELEGIE
